px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.44353	-8.35176	-2.75431	-2.37548	-0.915665	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	1.14157
5.55522	-8.24984	-2.75431	-2.42585	-0.915665	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0
5.61276	-8.12867	-2.71612	-2.41684	-0.845422	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	2.9438
5.72681	-8.03248	-2.71612	-2.46336	-0.845422	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0
5.82121	-7.91501	-2.70357	-2.47062	-0.794483	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	1.80735
5.93952	-7.82532	-2.70357	-2.51432	-0.794483	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0
6.0255	-7.70837	-2.67256	-2.50668	-0.727945	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	3.05177
6.1454	-7.62371	-2.67256	-2.54672	-0.727945	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0
6.24795	-7.51352	-2.65161	-2.54519	-0.671888	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	2.358
6.36975	-7.43403	-2.65161	-2.5821	-0.671888	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0
6.49956	-7.3268	-2.69572	-2.61055	-0.668553	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.731634
6.61673	-7.26051	-2.69572	-2.64399	-0.668553	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0
6.65573	-7.12347	-2.57234	-2.57829	-0.536717	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	13.2599
6.77633	-7.04963	-2.57234	-2.60784	-0.536717	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0
6.92801	-6.96284	-2.60974	-2.63697	-0.534609	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.363738
7.0543	-6.89531	-2.60974	-2.66636	-0.534609	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0
7.1337	-6.77382	-2.52498	-2.61808	-0.431153	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	8.73132
7.25433	-6.70586	-2.52498	-2.64177	-0.431153	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0
7.43915	-6.64389	-2.64247	-2.70739	-0.492558	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.68776
7.55938	-6.58971	-2.64247	-2.73202	-0.492558	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0
7.67312	-6.49289	-2.61408	-2.72387	-0.450243	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.48643
7.80495	-6.43605	-2.61408	-2.74865	-0.450243	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0
7.93038	-6.35161	-2.59149	-2.74426	-0.41319	8.03231	-6.28406	8	-6.25	2.72931	1.81954	1.20915
8.06193	-6.29785	-2.59149	-2.76697	-0.41319	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0
8.13754	-6.18354	-2.5008	-2.7159	-0.323367	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	7.42336
8.25147	-6.13269	-2.5008	-2.73207	-0.323367	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0
8.42608	-6.05398	-2.59218	-2.76197	-0.346643	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.81099
8.55851	-6.00225	-2.59218	-2.78103	-0.346643	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0
8.64916	-5.88218	-2.4912	-2.7248	-0.252898	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	8.36104
8.77439	-5.8274	-2.4912	-2.73872	-0.252898	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0
8.87131	-5.7159	-2.43886	-2.69176	-0.18046	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	4.77983
8.98111	-5.66314	-2.43886	-2.7008	-0.18046	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0
9.13637	-5.57154	-2.53087	-2.72164	-0.207959	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.12306
9.26328	-5.51533	-2.53087	-2.73308	-0.207959	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0
9.34631	-5.3803	-2.43809	-2.66482	-0.113898	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	7.8691
9.4651	-5.31897	-2.43809	-2.67109	-0.113898	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0
9.5706	-5.20194	-2.39147	-2.62037	-0.0454525	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	4.27297
9.68406	-5.13652	-2.39147	-2.62287	-0.0454525	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0
9.78542	-4.99825	-2.3608	-2.56185	0.0263048	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.96263
9.89357	-4.92683	-2.3608	-2.5604	0.0263048	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0
9.97889	-4.76145	-2.33784	-2.48296	0.107705	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	4.45258
10.0796	-4.68247	-2.33784	-2.47704	0.107705	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0
10.1738	-4.51233	-2.35421	-2.41001	0.168236	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	2.27768
10.2692	-4.42533	-2.35421	-2.40076	0.168236	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0
10.4131	-4.30989	-2.42958	-2.40554	0.143106	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.67173
10.5112	-4.21976	-2.42958	-2.39766	0.143106	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0
10.622	-4.0669	-2.47193	-2.36121	0.166783	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.686324
10.7176	-3.97086	-2.47193	-2.35204	0.166783	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0
10.7659	-3.77337	-2.44904	-2.24586	0.273303	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	6.99888
10.8487	-3.66773	-2.44904	-2.23084	0.273303	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0
10.9617	-3.55199	-2.51162	-2.24834	0.225787	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	2.81692
11.0394	-3.45374	-2.51162	-2.23705	0.225787	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925	0
11.0839	-3.23619	-2.52559	-2.13395	0.322354	11.1178	-2.98807	11.1	-3	0.907725	2.72317	5.866
11.1566	-3.11802	-2.52559	-2.11619	0.322354	11.1427	-2.86566	11.15	-2.85	0.907708	2.72314	0
11.2057	-2.91799	-2.56479	-2.04723	0.371731	11.1491	-2.68183	11.2	-2.7	0.908929	2.72678	1.65458
11.2687	-2.79212	-2.56479	-2.02678	0.371731	11.2525	-2.55311	11.25	-2.55	0.908929	2.72678	0
11.1912	-2.4864	-2.59071	-1.79948	0.609731	11.1188	-2.36202	11.2	-2.4	-0.909276	2.72782	32.783
